data,total,positivos,prevalencia
2015-12-12,132,12,0.09090909090909091
2015-12-13,173,8,0.046242774566473986
2015-12-14,209,37,0.17703349282296652
2015-12-15,210,46,0.21904761904761905
2015-12-16,218,40,0.1834862385321101
2015-12-17,204,28,0.13725490196078433
2015-12-18,211,47,0.22274881516587677
2015-12-19,144,13,0.09027777777777778
2015-12-20,162,26,0.16049382716049382
2015-12-21,190,46,0.24210526315789474
2015-12-22,172,34,0.19767441860465115
2015-12-23,143,21,0.14685314685314685
2015-12-24,113,8,0.07079646017699115
2015-12-25,87,5,0.05747126436781609
2015-12-26,102,9,0.08823529411764706
2015-12-27,106,6,0.05660377358490566
2015-12-28,145,31,0.21379310344827587
2015-12-29,150,17,0.11333333333333333
2015-12-30,152,23,0.1513157894736842
2015-12-31,127,18,0.14173228346456693
2016-01-01,98,11,0.11224489795918367
2016-01-02,188,38,0.20212765957446807
2016-01-03,196,24,0.12244897959183673
2016-01-04,173,21,0.12138728323699421
2016-01-05,165,10,0.06060606060606061
2016-01-06,194,44,0.2268041237113402
2016-01-07,157,26,0.16560509554140126
2016-01-08,203,29,0.14285714285714285
2016-01-09,190,19,0.1
2016-01-10,212,16,0.07547169811320754
2016-01-11,147,31,0.2108843537414966
2016-01-12,172,25,0.14534883720930233
2016-01-13,178,30,0.16853932584269662
2016-01-14,181,35,0.19337016574585636
2016-01-15,159,33,0.20754716981132076
2016-01-16,107,9,0.08411214953271028
2016-01-17,157,8,0.050955414012738856
2016-01-18,168,34,0.20238095238095238
2016-01-19,170,32,0.18823529411764706
2016-01-20,182,33,0.1813186813186813
2016-01-21,179,31,0.17318435754189945
2016-01-22,179,33,0.18435754189944134
2016-01-23,113,15,0.13274336283185842
2016-01-24,148,11,0.07432432432432433
2016-01-25,167,32,0.19161676646706588
2016-01-26,178,30,0.16853932584269662
2016-01-27,193,26,0.13471502590673576
2016-01-28,202,38,0.18811881188118812
2016-01-29,177,30,0.1694915254237288
2016-01-30,120,12,0.1
2016-01-31,182,15,0.08241758241758242
2016-02-01,104,12,0.11538461538461539
2016-02-02,200,33,0.165
2016-02-03,212,28,0.1320754716981132
2016-02-04,135,10,0.07407407407407407
2016-02-05,166,38,0.2289156626506024
2016-02-06,198,40,0.20202020202020202
2016-02-07,117,7,0.05982905982905983
2016-02-08,184,20,0.10869565217391304
2016-02-09,175,24,0.13714285714285715
2016-02-10,188,3,0.015957446808510637
2016-02-11,118,24,0.2033898305084746
2016-02-12,127,26,0.2047244094488189
2016-02-13,110,4,0.03636363636363636
2016-02-14,153,9,0.058823529411764705
